temperature_C	humidity	noiselevel_dB	illuminance_lux	regiao
22	70,4772949219	51,1802112811	241,12	mesaTV
22	70,4772949219	49,3089503054	240,8	mesaTV
22	70,4772949219	44,0815455808	240,48	mesaTV
22,03125	70,4772949219	47,032001226	240,8	mesaTV
22,03125	70,4772949219	49,058335093	240,16	mesaTV
22,03125	70,5139160156	64,3324853309	240,48	mesaTV
22,03125	70,5139160156	59,8394199084	241,76	mesaTV
22,03125	70,5139160156	46,8106939248	240,48	mesaTV
22,03125	70,5139160156	58,5174963749	241,12	mesaTV
22,03125	70,5139160156	55,7354881178	240,48	mesaTV
22,03125	70,5139160156	56,7399641525	240,48	mesaTV
22,03125	70,5139160156	52,4364764095	240,8	mesaTV
22,0625	70,5139160156	65,82839704	240,48	mesaTV
22,0625	70,5139160156	71,0995776501	240,48	mesaTV
22,0625	70,5139160156	71,3257812539	240,48	mesaTV
22,0625	70,5139160156	50,9254811624	240,48	mesaTV
22,0625	70,5139160156	48,4650179473	240,8	mesaTV
22,0625	70,5139160156	61,7100471458	240,48	mesaTV
22,0625	70,5139160156	67,8704174643	240,8	mesaTV
22,0625	70,5139160156	67,5144915501	240,48	mesaTV
22,0625	70,5139160156	60,1669799363	240,48	mesaTV
22,0625	70,5139160156	55,0117990263	240,16	mesaTV
22,0625	70,5139160156	49,8676157085	240,16	mesaTV
22,09375	70,5139160156	49,590437366	240,8	mesaTV
22,09375	70,5139160156	52,4854018043	240,48	mesaTV
22,09375	70,5139160156	49,1821219198	240,8	mesaTV
22,09375	70,6115722656	50,4754217305	241,12	mesaTV
22,09375	70,5139160156	48,8347579149	240,16	mesaTV
22,09375	70,5139160156	46,7316960422	241,12	mesaTV
22,09375	70,6115722656	45,8211865108	240,8	mesaTV
22,09375	70,5139160156	48,8745212739	240,16	mesaTV
22,09375	70,6115722656	48,6102871124	240,48	mesaTV
22,09375	70,5139160156	47,544293617	240,8	mesaTV
22,09375	70,5139160156	48,0657737244	241,76	mesaTV
22,09375	70,6115722656	47,9543306701	240,8	mesaTV
22,09375	70,6115722656	51,3785595797	241,76	mesaTV
22,125	70,6115722656	55,3336380669	242,4	mesaTV
22,125	70,6115722656	59,4575093391	241,44	mesaTV
22,125	70,6115722656	56,2773423845	242,4	mesaTV
22,125	70,6115722656	50,8648538285	241,44	mesaTV
22,125	70,6115722656	49,1613711605	241,76	mesaTV
22,125	70,6115722656	49,3619212444	242,4	mesaTV
22,125	70,6115722656	48,0087280803	241,76	mesaTV
22,125	70,6115722656	49,4919927956	241,76	mesaTV
22,125	70,6115722656	47,9911358628	241,76	mesaTV
22,125	70,6115722656	48,9357904239	241,44	mesaTV
22,15625	70,6115722656	53,6357001272	241,44	mesaTV
22,15625	70,6115722656	51,8341140819	242,08	mesaTV
22,15625	70,6115722656	50,5464817025	240,8	mesaTV
22,15625	70,6115722656	49,5349606219	241,12	mesaTV
22,15625	70,6115722656	54,1791240773	240,8	mesaTV
22,15625	70,6115722656	49,7102031783	240,8	mesaTV
22,15625	70,6115722656	49,3054709074	242,08	mesaTV
22,15625	70,6115722656	55,7514131492	241,44	mesaTV
22,15625	70,6115722656	51,7528002489	241,44	mesaTV
22,15625	70,6115722656	47,2276620722	241,44	mesaTV
22,15625	70,6115722656	48,3073834277	241,76	mesaTV
22,15625	70,6115722656	48,9953269178	241,12	mesaTV
22,15625	70,6115722656	47,0810062582	241,12	mesaTV
22,1875	70,6115722656	50,0422721311	241,76	mesaTV
22,1875	70,6115722656	48,1525544455	241,12	mesaTV
22,1875	70,703125	49,2693593667	242,08	mesaTV
22,1875	70,703125	48,657457172	241,76	mesaTV
22,1875	70,703125	48,3586724841	242,4	mesaTV
22,1875	70,703125	51,2436620522	242,72	mesaTV
22,1875	70,703125	51,0469179088	238,56	mesaTV
22,1875	70,703125	48,125486801	241,12	mesaTV
22,1875	70,703125	48,5218506922	240,48	mesaTV
22,1875	70,703125	47,8442845935	240,48	mesaTV
22,1875	70,703125	49,3358432616	240,48	mesaTV
22,1875	70,703125	56,8358246608	240,8	mesaTV
22,1875	70,703125	52,4087021644	241,12	mesaTV
22,21875	70,80078125	50,4424115702	240,8	mesaTV
22,21875	70,80078125	55,8878457163	241,44	mesaTV
22,21875	70,80078125	46,6291762329	242,08	mesaTV
22,21875	70,80078125	47,117867036	241,44	mesaTV
22,21875	70,80078125	46,484956255	241,76	mesaTV
22,21875	70,80078125	48,3016680134	241,44	mesaTV
22,21875	70,80078125	52,0266065404	240,8	mesaTV
22,21875	70,80078125	58,8579907779	241,12	mesaTV
22,21875	70,80078125	67,2816388091	241,44	mesaTV
22,21875	70,80078125	68,1149249791	241,76	mesaTV
22,21875	70,80078125	64,666007594	241,76	mesaTV
22,21875	70,8984375	66,2319246438	243,04	mesaTV
22,21875	70,8984375	66,9314154809	242,4	mesaTV
22,21875	70,8984375	64,5922909759	243,04	mesaTV
22,25	70,8984375	49,8438410196	242,4	mesaTV
22,25	70,8984375	56,3853183474	242,72	mesaTV
22,25	70,8984375	61,4329327358	242,4	mesaTV
22,25	70,8984375	53,975714873	242,4	mesaTV
22,25	70,8984375	52,0759711918	242,72	mesaTV
22,25	70,8984375	49,9095802644	242,4	mesaTV
22,25	70,8984375	48,8562072285	242,4	mesaTV
22,25	70,8984375	51,1111358121	242,4	mesaTV
22,25	70,8984375	49,52121415	242,08	mesaTV
22,25	70,8984375	48,0743315063	242,72	mesaTV
22,25	70,8984375	50,4238310333	242,08	mesaTV
22,25	70,8984375	48,5959048507	242,72	mesaTV
22,25	70,8984375	45,3194047988	241,76	mesaTV
22,25	70,8984375	46,1487347807	242,4	mesaTV
22,25	70,8984375	51,5389423676	243,04	mesaTV
22,25	70,8984375	49,6373888467	243,04	mesaTV
22,28125	70,99609375	51,1884735878	243,36	mesaTV
22,28125	70,99609375	55,0832958213	242,72	mesaTV
22,28125	70,99609375	50,7636700681	242,72	mesaTV
22,28125	70,99609375	47,2774722465	242,08	mesaTV
22,28125	70,99609375	49,4135253541	242,72	mesaTV
22,28125	70,99609375	47,9360024162	241,44	mesaTV
22,28125	70,99609375	47,4845336681	241,76	mesaTV
22,28125	70,99609375	46,7636984174	241,44	mesaTV
22,28125	70,99609375	49,3010777449	242,08	mesaTV
22,28125	70,99609375	52,57810345	242,08	mesaTV
22,28125	70,99609375	45,868289483	242,4	mesaTV
22,28125	70,99609375	52,0018560285	242,4	mesaTV
22,28125	70,99609375	54,0356897673	243,04	mesaTV
22,28125	70,99609375	46,121961699	242,4	mesaTV
22,28125	70,99609375	67,1403439698	243,04	mesaTV
22,3125	70,99609375	76,8237262184	242,4	mesaTV
22,28125	70,99609375	65,9262520448	241,44	mesaTV
22,3125	70,99609375	58,8526444812	237,28	mesaTV
22,3125	70,99609375	59,1361363503	238,88	mesaTV
22,3125	70,99609375	64,2246519112	240,16	mesaTV
22,3125	70,99609375	64,2584233726	239,52	mesaTV
22,3125	70,99609375	63,0446482609	239,84	mesaTV
